dataset,classifier,algo,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_trials
congressional-voting,xgb,PSO,3.2,0.10456585362134048,0.054506236542995815,1.8761235257997495,0.020768810294927307,0.6341732223259351,0.016496595337377937,5
congressional-voting,xgb,WOA,2.75,0.1269565750808239,0.05150355242672425,1.8675918663814417,0.019624681095377003,0.6409498903671725,0.01558781740784627,8
contraceptive-method-choice,rf,GA,2.75,0.28005443645467065,0.060587998538995866,3.0880366224596223,0.0017272041291942486,0.5412892113382978,0.001079226126313217,4
contraceptive-method-choice,rf,GWO,7.125,0.06207601625968493,0.18472794480756435,4.997132481653062,1.9634105968947304,0.8673933822392724,0.27395530443499294,8
contraceptive-method-choice,rf,PSO,7.5,0.025012472313029548,0.07576042384343613,3.9285533018287397,1.7024620057217714,0.7768456081459273,0.1256787298027716,4
contraceptive-method-choice,rf,WOA,2.6666666666666665,0.2437225597577475,0.09442948270311292,3.1741284250120603,1.1895313456641092,0.6026190304976382,0.1005370000670421,9
contraceptive-method-choice,svm,GA,9.5,0.12496478813672354,0.14975844233021735,3.8924114188022436,1.594972654793339,0.6484332596174527,0.10210155811092478,2
contraceptive-method-choice,svm,GWO,8.75,0.03723132235131412,0.1548750521411774,4.192748722229875,2.3582008968664945,0.8371877705050699,0.2320468650592631,8
contraceptive-method-choice,svm,PSO,11.8,-0.012454950083127464,0.06175697848635817,6.378584652308356,2.1306693235267953,1.0838865885913624,0.15189055412754904,5
contraceptive-method-choice,svm,WOA,4.384615384615385,0.16105824698547608,0.11965224728153336,2.8649202316354985,1.4617540328956147,0.6592247155937817,0.10928049067078319,13
contraceptive-method-choice,xgb,GA,2.0,0.29534557482983254,0.0,3.108164186659682,0.0,0.5406367885986013,0.0,8
contraceptive-method-choice,xgb,GWO,5.75,0.13507329380487265,0.1859054259259441,3.890873571613363,1.7213585633640145,0.8017939843118641,0.3397587129199187,4
contraceptive-method-choice,xgb,PSO,7.6,0.015743823897289278,0.0800191449182189,3.8008318827897254,1.1185553411077522,0.8160883023881074,0.13500135007358202,5
contraceptive-method-choice,xgb,WOA,2.125,0.26942017261450363,0.03507413828274176,2.8430273552141707,0.3021318161372058,0.56774193339048,0.03198952657494934,8
credit-approval,rf,GA,2.0,0.35629762958914596,0.0,3.692676424074119,0.0,0.4828193925934168,0.0,4
credit-approval,rf,GWO,2.0,0.35629762958914596,0.0,3.692676424074119,0.0,0.4828193925934168,0.0,4
credit-approval,rf,PSO,2.0,0.35629762958914596,0.0,3.692676424074119,0.0,0.4828193925934168,0.0,9
credit-approval,rf,WOA,2.0,0.35629762958914596,0.0,3.692676424074119,0.0,0.4828193925934168,0.0,9
credit-approval,svm,GA,2.0,0.317640782147672,0.0,3.2088072943619874,0.0,0.5276766694695795,0.0,3
credit-approval,svm,GWO,2.0,0.317640782147672,0.0,3.2088072943619874,0.0,0.5276766694695795,0.0,4
credit-approval,svm,PSO,2.0,0.317640782147672,0.0,3.2088072943619874,0.0,0.5276766694695795,0.0,8
credit-approval,svm,WOA,2.0,0.3129898105157213,0.017402342362364362,3.157985890540918,0.19015628101332557,0.5325600900651396,0.018272086744101648,14
credit-approval,xgb,GA,2.0,0.3971315213714064,0.0,4.336988769989628,0.0,0.4498849070763609,0.0,4
credit-approval,xgb,GWO,2.0,0.3971315213714064,0.0,4.336988769989628,0.0,0.4498849070763609,0.0,9
credit-approval,xgb,PSO,2.0,0.3971315213714064,0.0,4.336988769989628,0.0,0.4498849070763609,0.0,8
credit-approval,xgb,WOA,2.0,0.3971315213714064,0.0,4.336988769989628,0.0,0.4498849070763609,0.0,4
cylinder-bands,rf,GA,2.0,0.08547899291312644,0.0,1.3840294374030429,0.0,0.8162835199820626,0.0,2
cylinder-bands,rf,GWO,2.0,0.08547899291312644,0.0,1.3840294374030429,0.0,0.8162835199820625,0.0,14
cylinder-bands,rf,PSO,2.0,0.08547899291312644,0.0,1.3840294374030429,0.0,0.8162835199820626,0.0,8
cylinder-bands,rf,WOA,2.0,0.08547899291312644,0.0,1.3840294374030429,0.0,0.8162835199820626,0.0,4
cylinder-bands,svm,GA,2.25,0.11610000967210606,0.010261807548676663,1.58570802066018,0.005656323750611629,0.768926029653932,0.0007693297558021746,4
cylinder-bands,svm,GWO,2.75,0.09857135493013296,0.004271886837916218,1.552394551001042,0.08359591057011018,0.7782820523671804,0.021020034693903396,4
cylinder-bands,svm,PSO,2.5555555555555554,0.10982890505902587,0.010816894921375818,1.5891646629522203,0.0059622887450796426,0.7684558836920529,0.0008109447666920102,9
cylinder-bands,svm,WOA,2.25,0.11610000967210606,0.009500587688562549,1.58570802066018,0.005236738219137104,0.768926029653932,0.0007122609512747926,8
cylinder-bands,xgb,GA,3.0,0.07656897746871986,0.0,1.4538112566176689,0.0,0.7963111913405398,1.5700924586837752e-16,2
cylinder-bands,xgb,GWO,2.5,0.08509609227827034,0.01032632095329281,1.4413184005823223,0.020162630786860924,0.7994411820585099,0.005251987602860206,4
cylinder-bands,xgb,PSO,2.4615384615384617,0.08780426088259255,0.01082658999893501,1.4496473107999415,0.004012478589605837,0.7971689224304213,0.0008265303595297226,13
