dataset,classifier,method,trial,algo,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
blood-transfusion,rf,Optuna_Auto,19,GWO,55,37,6,0.1628598328806867,8.138433812032314,0.44586976598021116
blood-transfusion,rf,Optuna_Auto,21,WOA,59,11,3,0.4224446061190375,5.718989443116806,0.3708747554476719
blood-transfusion,rf,Optuna_Auto,22,WOA,35,21,6,0.2653867837377237,13.566651918757593,0.5208136643784551
blood-transfusion,rf,Optuna_Auto,23,WOA,56,10,2,0.40490006841847176,4.923329669509868,0.39582043989464905
blood-transfusion,rf,Optuna_Auto,24,WOA,78,19,2,0.43216605709052236,5.488246936627842,0.3762141190590214
blood-transfusion,rf,Optuna_Auto,25,WOA,78,20,4,0.40746322421334813,8.284862676591505,0.40985516374394987
blood-transfusion,rf,Optuna_Auto,26,WOA,92,18,4,0.4014929376103204,5.925546426369241,0.36673818863517155
blood-transfusion,rf,Optuna_Auto,27,WOA,77,29,4,0.4014929376103204,5.92554642636924,0.36673818863517155
blood-transfusion,rf,Optuna_Auto,28,WOA,83,40,4,0.4014929376103204,5.92554642636924,0.36673818863517155
blood-transfusion,rf,Optuna_Auto,29,GWO,69,16,4,0.40746322421334813,8.284862676591503,0.40985516374394987
blood-transfusion,svm,Optuna_Auto,0,GWO,42,19,6,0.36395408458771317,10.275541435244351,0.36325531793954496
blood-transfusion,svm,Optuna_Auto,1,PSO,81,74,7,0.36752883737947617,10.37033663346757,0.3513195614826721
blood-transfusion,svm,Optuna_Auto,2,GA,14,81,8,0.35494206162627734,8.812876898124667,0.3330035368598775
blood-transfusion,svm,Optuna_Auto,3,WOA,86,50,7,0.39813964687696024,6.866733526698511,0.3311082156734389
blood-transfusion,svm,Optuna_Auto,4,WOA,87,43,6,0.36395408458771317,10.27554143524435,0.36325531793954496
blood-transfusion,svm,Optuna_Auto,5,WOA,79,51,6,0.35960595289119307,12.038106975242513,0.4209250525712873
blood-transfusion,svm,Optuna_Auto,6,GWO,35,15,7,0.3739454618743256,13.55359900618753,0.41586971558649377
blood-transfusion,svm,Optuna_Auto,7,PSO,38,28,6,0.35960595289119307,12.038106975242512,0.4209250525712873
blood-transfusion,svm,Optuna_Auto,8,WOA,75,12,4,0.2593202321885734,3.9306075159434166,0.4356413397415545
blood-transfusion,svm,Optuna_Auto,9,WOA,66,51,7,0.36752883737947617,10.37033663346757,0.3513195614826721
blood-transfusion,svm,Optuna_Auto,11,GWO,53,34,7,0.36752883737947617,10.37033663346757,0.3513195614826721
blood-transfusion,svm,Optuna_Auto,12,GWO,12,63,7,0.36752883737947617,10.37033663346757,0.3513195614826722
blood-transfusion,svm,Optuna_Auto,13,GWO,28,29,7,0.3739454618743256,13.553599006187534,0.4158697155864938
blood-transfusion,svm,Optuna_Auto,14,WOA,63,11,5,0.4420469707629085,10.584828147728985,0.37188260015715946
